1,泰亚见顶了，接下来一路下跌。现在别去买啊!散,泰亚见顶了，接下来一路下跌。现在别去买啊!散户朋友们。,0
2,打扫单会不会重现,。,0
3,向20元迈进,此股横盘数月，洗盘葍势，弄得大伙怨气冲天，骂声—片，弃之而去，时机—到，庒家就开始犮力，股价飚升……，股市就这么个老套路，要的是耐性，定力……，和众股友交流。,0
4,生怕卖不出去，竞相抛售，股价就下跌。,追高的都是有红眼病的002175快点跌停!,0
5,低开要大跌了,是,0
6,买了就后悔了 唉,买了就后悔了 唉,0
7,爱康天天跌，半死不活，难救了,鉴定是死股一只,0
8,磨啊磨，磨的人心一样平。。。 轮回盘,你又少了1小时，我少了1k。。。。我推面子你拉磨。。。,0
9,601618看了觉得恶心的下午逢高赶紧走人！看好的,熬,0
10,河北贺电长寿,绿毛龟,0
11,有在套人了，又在叫好了，那么大量还没大升，出,有在套人了，又在叫好了，那么大量还没大升，出货小散接Ing,0
12,太监庄吸毒变态了,只有变态吸毒的太监才会这样操盘，根本没实力向上创新高，典型的太监庄,0
13,我发现很多散户满嘴喷粪，天天唱多，有用吗？赚,今年马上就过去了，今年的收益如何？,0
14,好久没见红了,,0
15,恒大高新自己卖矿泉水。笨蛋,恒大高新自己卖矿泉水。笨蛋,0
16,散户卖的是xx,s,0
17,孙子才买此票,孙子才买此票,0
18,没希望的股票，没希望的公司,没希望的股票，没希望的公司。又步入下跌通道了。,0
19,5.00元买点玩玩！,等你跌，嘿嘿,0
20,又吸引小散跟风，主力拉高出货，赶紧卖，明天跌,又吸引小散跟风，主力拉高出货，赶紧卖，明天跌停,0
21,"拉高出货,故伎重演",跟前天一模一样,0
22,王八,又在左手换右手了。,0
23,悦达已到顶了，快跑吧，机构在拉高出货了。,悦达已到顶了，快跑吧，机构在拉高出货了。,0
24,看空的快卖,你不卖，今天怎么会跌，特别是所谓的大股东，快卖，快卖，就会跌得很惨,0
25,股票不涨没钱嫖娼了好几个月没嫖了合,,0
26,放空单了  加大空单做空破13元,加大空单做空,0
27,别买的原因!,"泸港通快了,内地股抽血严重!必大跌!",0
28,"炒,势死不当抗旗者,走了","随你怎么涨,老子不上当,",0
29,所有港口股都不要玩了，一个码头而已。,所有港口股都不要玩了，一个码头而已。,0
30,软庄就像个阳伟老男人，750这层膜都搞不破,休整了几天还是这软样，不行就换人,0
31,002052 已走  憋死哥了,今天大盘不是很好，果断10.95跑了   额额！！,0
32,昨天10.62满仓的 今天11.05跑了 谢谢呵呵,昨天10.62满仓的 今天11.05跑了 谢谢呵呵,0
33,大资金流出，股价怎么涨,呵呵,0
34,陈的裤子一股屎味！,屁眼没擦干净吧？嘻嘻！,0
35,主力做盘差啊 不敢拉亏损更大 傻逼主力如果能赚,。,0
36,这庄 鉴定就是个 乌龟王八蛋,\(^o^)/~,0
37,此时涨是错误的,此时涨是错误的,0
38,我服了，你妹，惹不起，走了！,如题,0
39,被基金主力抛弃的个股银棒，获利50%多怎么卖出,各位注意风险，别死扛了，先卖出，等跌倒16以下可以看看再买~,0
40,这儿，跌起来比谁都快！,推荐就死！,0
41,逆势做多，我们撤退之日，便是下跌之时。,欢迎联系我们,0
42,枪枪枪战士的枪火药十足,枪枪枪战士的枪火药十足,0
43,翻倍钱。你出来说几句！！！,和你之前一直疯狂的表演严重不相符嘛！,0
44,据央视报道，凡是在香港上市，有h股的沪市股票,据央视报道，凡是在香港上市，有h股的沪市股票，一律列为沪港通股票。据紫金矿业发布的公告，该公司用巨资回购h股！,0
45,恶庄，你们这么缺得生儿子会没屁眼的。,恶庄，你们这么缺得生儿子会没屁眼的。,0
46,马上跌停10.6元可以进场---散户大家一起出套死,1.11111E+20,0
